#plants
# 1=year
# 2=month
# 3=day
# 4=simulation time
# 5=depth of the roots [mm]
# 6=actual Kc
# 7=effective temperature sum [dC]
# 8=development stage (dvs)
# 9=total gross assimilation [kg CH2O/L2]
#10=ponding on plants/interception [L/T]
#11=ponding on soil [L]
#12=total green leaf area (slaig)
#13=total dead leaf area (slaid)
#14=dry weight of green leaves (wlvg) [kg DM/L2]
#15=dry weight of dead leaves (wlvd) [kg DM/L2]
#16=dry weight of storage organs (wso) [kg DM/L2]
#17=dry weight of stems (wst) [kg DM/L2]
#18=dry weight of roots (wrt) [kg DM/L2]
#19=dry weight of dead roots (wrtd) [kg DM/L2]
#20=dry weight of crowns (wcrn) [kg DM/L2]
#21=C storage of grass [kg C/L2]
#22=plant_type
year month  day time  rootdepth          akc     temp_sum          dvs       cgphot   pond_plant    pond_soil        slaig        slaid         wlvg         wlvd          wso          wst          wrt         wrtd         wcrn      storage   plant_type
2022 10  1     1.00  0.00000E+00  4.00000E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00           0
2022 10  1     2.00  0.00000E+00  4.00000E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00           0
2022 10  1     3.00  0.00000E+00  4.00000E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00           0
2022 10  1     4.00  0.00000E+00  4.00000E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00           0
2022 10  1     5.00  0.00000E+00  4.00000E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00           0
2022 10  1     6.00  0.00000E+00  4.00000E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00           0
2022 10  1     7.00  0.00000E+00  4.00000E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00           0
2022 10  1     8.00  0.00000E+00  4.00000E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00           0
2022 10  1     9.00  0.00000E+00  4.00000E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00           0
2022 10  1    10.00  0.00000E+00  4.00000E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00           0
